OBJECTID,N_SQ_IR,C_CAINSEE,N_QU,C_IR,C_TYPEIR,L_IR,M2_IP,M2_POP,M2_EMP,NOM_EPT,EPT,IRIS,IRIS_NUM,DEP,UU2010,COM,LIBCOM,LIBIRIS,TYP_IRIS,MODIF_IRIS,LAB_IRIS,SHAPE_ha,P12_LOG,P12_RP,P12_RSECOCC,P12_LOGVAC,TX12_RSECOCC,TX12_LOGVAC,P12_PMEN,TMM12,P12_RP_PROP,P12_RP_LOC,P12_RP_LOCHLMV,P12_RP_GRAT,TX12_RP_PROP,TX12_RP_LOCHLM,SHAPE_Length,SHAPE_Area
11,750004464,75101,2,751010205,A,Les Halles 5,59141.48694822,22943.59986441,43916.83517574,Paris,T1,751010205,751010205,75,00851,75101,Paris 1er Arrondissement,Les Halles 5,A,00,3,6.86310947418,,,,,,,,,,,,,,,1179.95736070025,68625.0936582733
12,750004395,75101,2,751010206,A,Les Halles 6,27263.72343586,18724.32432959,27220.74876804,Paris,T1,751010206,751010206,75,00851,75101,Paris 1er Arrondissement,Les Halles 6,A,00,3,3.92921686982,479.004184337917,363.802807823444,51.005098011971,64.1962785025016,10.6481529138353,13.4020287507998,530.667105852868,1.45866687788293,108.018460053999,239.825608762093,0,15.9587390073524,29.6914860828729,0,842.399261349359,39288.8806991737
13,750004375,75101,3,751010301,H,Palais Royal 1,136055.18043484,87598.09836563,114891.6319347,Paris,T1,751010301,751010301,75,00851,75101,Paris 1er Arrondissement,Palais Royal 1,H,00,1,19.7166743031,2323.51634640115,1628.07197648915,477.634936389387,217.809433522614,20.5565558912115,9.37412959715025,2860.44530527985,1.75695260810781,576.790624280667,903.469842971459,15.4870841990314,147.811509237021,35.4278332045544,0.951253041799076,2125.87630243134,197150.424302739
14,750004391,75101,3,751010302,A,Palais Royal 2,27009.93139572,3101.61655738,26970.43997038,Paris,T1,751010302,751010302,75,00851,75101,Paris 1er Arrondissement,Palais Royal 2,A,00,3,3.58569119227,69.8526008088487,45.2008692208871,13.7800759638944,10.8716556240672,19.7273627672125,15.5637091506691,87.9346974914157,1.9454204975948,13.7802143219735,17.1041314203643,1.77468002253547,14.3165234785493,30.4866135530104,3.92620773256147,905.844644076806,35853.9457190864
15,750004409,75101,3,751010303,A,Palais Royal 3,25877.80941184,15253.72103614,23182.76418326,Paris,T1,751010303,751010303,75,00851,75101,Paris 1er Arrondissement,Palais Royal 3,A,00,3,4.08473759467,320.041040748713,231.723200673064,48.1963308799042,40.1215091957444,15.0594219938644,12.5363638056804,438.458419324367,1.89216452237333,36.5292939984304,172.921052486966,0,22.2728541876679,15.7641936121749,0,1326.66864022794,40843.8702470277
16,750004371,75101,4,751010401,H,Place Vendome 1,76440.82274365,70996.66540179,76440.82274365,Paris,T1,751010401,751010401,75,00851,75101,Paris 1er Arrondissement,Place Vendome 1,H,00,1,10.2274834939,1061.50731772914,728.832581041535,241.000558822416,91.6741778651864,22.7036172805651,8.63622664997762,1312.80632654585,1.80124538981201,220.988865906788,442.327768852643,0,65.5159462821047,30.3209367494226,0,1564.94953826487,102266.622446632
17,750004345,75101,4,751010402,A,Place Vendôme 2,120864.96657259,100790.12158066,120530.94963464,Paris,T1,751010402,751010402,75,00851,75101,Paris 1er Arrondissement,Place Vendome 2,A,00,2,16.7133278593,1265.50945322781,941.524385101187,244.225282848412,79.7597852782146,19.2985743587683,6.30258312767075,1496.37417519787,1.58931005811076,288.682238423344,584.547371413278,0,68.2947752645652,30.6611536558682,0,1860.74279401434,167120.267632848
18,750004334,75102,5,751020501,A,Gaillon 1,49124.9099298,49124.9099298,49124.9099298,Paris,T1,751020501,751020501,75,00851,75102,Paris 2e Arrondissement,Gaillon 1,A,00,3,7.27078300179,684.077922202398,537.73014918449,82.3003600176018,64.0474130003061,12.0308458066641,9.36259027248016,1040.43505002706,1.9348646372255,170.328655788991,334.317763017588,78.1841956693226,33.0837303779116,31.6754892853427,14.5396712064397,1104.41453428179,72702.3348643051
19,750004330,75102,5,751020502,A,Gaillon 2,49329.26807134,48440.30101443,48941.64073099,Paris,T1,751020502,751020502,75,00851,75102,Paris 2e Arrondissement,Gaillon 2,A,00,3,7.50062061347,337.252878325537,198.955830703419,119.159078419069,19.1379692030491,35.3322643266071,5.67466445299717,331.165057944434,1.66451546945662,40.5301765655304,133.70683508012,3.25767481955511,24.7188190577685,20.3714444669623,1.63738595045816,1226.51759371428,75000.5841713934
20,750004320,75102,5,751020503,A,Gaillon 3,25393.74023842,25216.01682838,25216.01682838,Paris,T1,751020503,751020503,75,00851,75102,Paris 2e Arrondissement,Gaillon 3,A,00,3,4.02378628026,87.0061489232705,61.5313927752348,12.560019517939,12.9147366300967,14.4357837616919,14.8434757657026,127.96924744683,2.07973916524664,13.9352140583532,39.8894781465933,0,7.70670057028837,22.6473242841365,0,911.286353443543,40234.938986737
