OBJECTID,N_SQ_IR,C_CAINSEE,N_QU,C_IR,C_TYPEIR,L_IR,M2_IP,M2_POP,M2_EMP,NOM_EPT,EPT,IRIS,IRIS_NUM,DEP,UU2010,COM,LIBCOM,LIBIRIS,TYP_IRIS,MODIF_IRIS,LAB_IRIS,SHAPE_ha,P12_POP1564,P12_ACT1564,TX12_ACT1564,P12_ACTOCC1564,TX12_ACTOCC1564,C12_ACTOCC15P,C12_ACTOCC15P_TCOM,TX12_ACTOCC15P_TCOM,C12_ACT1564_CS1,C12_ACT1564_CS2,C12_ACT1564_CS3,C12_ACT1564_CS4,C12_ACT1564_CS5,C12_ACT1564_CS6,SHAPE_Length,SHAPE_Area
14,750004391,75101,3,751010302,A,Palais Royal 2,27009.93139572,3101.61655738,26970.43997038,Paris,T1,751010302,751010302,75,00851,75101,Paris 1er Arrondissement,Palais Royal 2,A,00,3,3.58569119227,69.4877595699141,57.3968270952486,82.5999103302497,54.9529801484903,79.0829643790719,55.8403201597581,24.7582809828617,44.3376415321916,0,0.887340011267733,31.8670681395821,15.9753414626219,5.33589052375088,0.887340011267733,905.844644076806,35853.9457190864
15,750004409,75101,3,751010303,A,Palais Royal 3,25877.80941184,15253.72103614,23182.76418326,Paris,T1,751010303,751010303,75,00851,75101,Paris 1er Arrondissement,Palais Royal 3,A,00,3,4.08473759467,277.72996148853,228.189764594744,82.1624585880943,214.235729153117,77.1381409498968,231.736528263217,70.362130059662,30.3629861839224,0,39.1488634289245,108.449394140478,29.1465553839889,43.897528012288,7.54742362906503,1326.66864022794,40843.8702470277
16,750004371,75101,4,751010401,H,Place Vendome 1,76440.82274365,70996.66540179,76440.82274365,Paris,T1,751010401,751010401,75,00851,75101,Paris 1er Arrondissement,Place Vendome 1,H,00,1,10.2274834939,872.287751356138,725.198567012872,83.1375387176322,658.819566804692,75.5277791967652,714.696372839284,348.76751217241,48.7993958590914,0,83.168916860638,321.527609278249,188.309141470223,94.0739440770754,34.8685641501166,1564.94953826487,102266.622446632
17,750004345,75101,4,751010402,A,Place Vendôme 2,120864.96657259,100790.12158066,120530.94963464,Paris,T1,751010402,751010402,75,00851,75101,Paris 1er Arrondissement,Place Vendome 2,A,00,2,16.7133278593,1056.27429566077,838.360917512704,79.3696221669632,755.743879171393,71.5480706362002,789.104589651855,419.898630829239,53.2120375848395,0,74.8472547184972,432.990105490519,157.575981276197,121.383922102453,48.3960643617273,1860.74279401434,167120.267632848
18,750004334,75102,5,751020501,A,Gaillon 1,49124.9099298,49124.9099298,49124.9099298,Paris,T1,751020501,751020501,75,00851,75102,Paris 2e Arrondissement,Gaillon 1,A,00,3,7.27078300179,799.800719266353,591.994472586606,74.0177469619725,521.328499807066,65.1822994464514,527.053285991637,267.87215929878,50.824492782506,0,46.16012646624,245.304273111401,92.2529450573179,101.007874290214,107.269253661433,1104.41453428179,72702.3348643051
19,750004330,75102,5,751020502,A,Gaillon 2,49329.26807134,48440.30101443,48941.64073099,Paris,T1,751020502,751020502,75,00851,75102,Paris 2e Arrondissement,Gaillon 2,A,00,3,7.50062061347,246.847853997528,194.057664955111,78.6142807451972,171.576947461086,69.5071659252925,182.962505272884,74.0095454418601,40.4506624630421,0,22.9260349908286,86.654792332179,36.46888528119,34.3474557947821,13.6604965561317,1226.51759371428,75000.5841713934
20,750004320,75102,5,751020503,A,Gaillon 3,25393.74023842,25216.01682838,25216.01682838,Paris,T1,751020503,751020503,75,00851,75102,Paris 2e Arrondissement,Gaillon 3,A,00,3,4.02378628026,105.665689034912,88.3087791015091,83.5737502949815,81.9556695286306,77.5612881316208,85.2133443481857,36.0169250650033,42.2667662447756,0,6.39770337333996,44.2190766422933,13.0342612567465,11.3768270034921,13.2809108256373,911.286353443543,40234.938986737
21,750004350,75102,6,751020601,H,Vivienne 1,88079.00425843,59154.55399571,86202.33694356,Paris,T1,751020601,751020601,75,00851,75102,Paris 2e Arrondissement,Vivienne 1,H,00,1,11.7049130449,1205.88998648918,927.976249275367,76.9536408521869,826.255542269127,68.518318547008,857.404371246901,455.584520920725,53.1353158671422,3.23408800733931,65.3148599755896,511.01034078487,189.035508244491,123.759948532189,37.5286347327833,1438.66343913109,117040.032572155
22,750004309,75102,6,751020602,A,Vivienne 2,86962.85402745,75102.5235603,86931.72802688,Paris,T1,751020602,751020602,75,00851,75102,Paris 2e Arrondissement,Vivienne 2,A,00,2,12.6565198383,1198.52450549507,1017.1235121166,84.8646404352378,928.249879484439,77.4493867441626,935.044136427254,505.973820485581,54.112292754316,0,58.7079443532262,609.96579189657,144.858151095796,153.213501762569,46.0323694401853,1403.04909714408,126555.96633024
23,750004379,75102,7,751020701,H,Mail 1,37102.16516006,33044.16136785,36778.77538329,Paris,T1,751020701,751020701,75,00851,75102,Paris 2e Arrondissement,Mail 1,H,00,1,5.34438743373,1528.97803582269,1263.90495908488,82.6633823032533,1145.46506933032,74.91703886472,1159.04739666048,656.155839368426,56.6116486054825,0,56.8053431191572,665.58815917595,270.902504431963,196.540154057235,69.9717582188113,1024.37669923809,53439.5381627677
