OBJECTID,N_SQ_IR,C_CAINSEE,N_QU,C_IR,C_TYPEIR,L_IR,M2_IP,M2_POP,M2_EMP,NOM_EPT,EPT,IRIS,IRIS_NUM,DEP,UU2010,COM,LIBCOM,LIBIRIS,TYP_IRIS,MODIF_IRIS,LAB_IRIS,SHAPE_ha,P12_RP_VOIT1P,TX12_RP_VOIT1P,C12_MEN,C12_MENPSEUL,TX12_MENPSEUL,C12_NE24F1,C12_NE24F2,C12_NE24F3,C12_NE24F4P,C12_NE24F,TX12_NE24F,SHAPE_Length,SHAPE_Area
16,750004371,75101,4,751010401,H,Place Vendome 1,76440.82274365,70996.66540179,76440.82274365,Paris,T1,751010401,751010401,75,00851,75101,Paris 1er Arrondissement,Place Vendome 1,H,00,1,10.2274834939,316.220054735268,,728.832581041535,400.158706212059,54.9040639264801,51.6137970495464,54.589082143007,21.1420856456745,2.43530142463802,129.780266262866,17.8065950451068,1564.94953826487,102266.622446632
17,750004345,75101,4,751010402,A,Place Vendôme 2,120864.96657259,100790.12158066,120530.94963464,Paris,T1,751010402,751010402,75,00851,75101,Paris 1er Arrondissement,Place Vendome 2,A,00,2,16.7133278593,242.23534674174,,941.524385101187,601.956686893788,63.9342640954641,59.5357366945655,42.0714524993909,16.8652288542891,0,118.472418048245,12.5830429804017,1860.74279401434,167120.267632848
18,750004334,75102,5,751020501,A,Gaillon 1,49124.9099298,49124.9099298,49124.9099298,Paris,T1,751020501,751020501,75,00851,75102,Paris 2e Arrondissement,Gaillon 1,A,00,3,7.27078300179,166.793786034835,,537.73014918449,298.972083121742,55.5989065473001,58.3664873866886,37.2510888073799,26.6510092521976,9.77302445866533,132.041609904931,24.5553666844202,1104.41453428179,72702.3348643051
19,750004330,75102,5,751020502,A,Gaillon 2,49329.26807134,48440.30101443,48941.64073099,Paris,T1,751020502,751020502,75,00851,75102,Paris 2e Arrondissement,Gaillon 2,A,00,3,7.50062061347,75.3498401096616,,198.955830703419,108.993906636592,54.7829667777206,19.2559085576249,1.02732987568344,6.23546330710826,0,26.5187017404166,13.3289392156331,1226.51759371428,75000.5841713934
20,750004320,75102,5,751020503,A,Gaillon 3,25393.74023842,25216.01682838,25216.01682838,Paris,T1,751020503,751020503,75,00851,75102,Paris 2e Arrondissement,Gaillon 3,A,00,3,4.02378628026,34.4373213753215,,61.5313927752348,21.0672229487612,34.2381701414053,10.1854760723139,6.35310957287852,1.02732987568344,0,17.5659155208759,28.5478919436159,911.286353443543,40234.938986737
21,750004350,75102,6,751020601,H,Vivienne 1,88079.00425843,59154.55399571,86202.33694356,Paris,T1,751020601,751020601,75,00851,75102,Paris 2e Arrondissement,Vivienne 1,H,00,1,11.7049130449,324.311080575585,,849.044303374047,448.845692888447,52.8648141333454,68.260652446934,78.7566733875281,41.5798353150575,7.64358347178113,196.240744621301,23.1131336540924,1438.66343913109,117040.032572155
22,750004309,75102,6,751020602,A,Vivienne 2,86962.85402745,75102.5235603,86931.72802688,Paris,T1,751020602,751020602,75,00851,75102,Paris 2e Arrondissement,Vivienne 2,A,00,2,12.6565198383,306.72046892018,,929.419126928395,544.549691608405,58.5903254872824,100.501808651124,54.8365065240907,16.5245895329837,0,171.862904708199,18.4914318770459,1403.04909714408,126555.96633024
23,750004379,75102,7,751020701,H,Mail 1,37102.16516006,33044.16136785,36778.77538329,Paris,T1,751020701,751020701,75,00851,75102,Paris 2e Arrondissement,Mail 1,H,00,1,5.34438743373,280.375087008288,,1202.14906359898,658.824303390486,54.8038777668806,128.189907210231,76.0562178095844,9.48528724839625,2.83815732726131,216.569569595473,18.0152009557874,1024.37669923809,53439.5381627677
24,750004363,75102,7,751020702,H,Mail 2,62508.33315974,60168.28369722,62475.81335333,Paris,T1,751020702,751020702,75,00851,75102,Paris 2e Arrondissement,Mail 2,H,00,1,8.43954958463,239.111513524634,,1239.2219710194,753.395324232219,60.7958333415008,104.483225889502,43.9358758312254,38.0118647591,6.19092947077192,192.6218959506,15.5437766966112,1551.9869746991,84388.8483896522
25,750004327,75102,7,751020703,H,Mail 3,68330.88765838,67743.55374244,68330.88765838,Paris,T1,751020703,751020703,75,00851,75102,Paris 2e Arrondissement,Mail 3,H,00,1,9.14700355077,272.601159457052,,1217.34782700336,709.737053019972,58.3019115224504,100.974737558972,77.5937286768092,45.651495394339,6.25097971649688,230.470941346617,18.9322177469974,1551.69729729927,91463.1392533641
